DATE,TIME,EPOCH,NODEID,TEMPERATURE,HUMIDITY,LIGHT,VOLTAGE
2004-02-28,01:08:45.992553,11289,30,19.5768,31.6664,1.38,2.65143
2004-02-28,01:08:45.992554,11290,31,19.5768,31.6312,1.38,2.66332
2004-02-28,01:08:45.992555,11291,32,19.567,31.6664,1.38,2.65143
2004-02-28,01:08:45.992556,4381,33,20.89,40.9055,1847.36,2.74963
2004-02-28,01:08:45.992557,4383,34,20.9096,40.8718,1847.36,2.76242
2004-02-28,01:08:45.992558,4385,35,20.9096,40.9055,1847.36,2.74963
2004-02-28,01:08:45.992559,4388,36,20.8998,40.9055,1847.36,2.76242
2004-02-28,01:08:45.992560,46382,37,122.153,-3.91901,11.04,2.18353
2004-02-28,01:08:45.992561,46383,38,20.4294,45.5391,5.06,2.47467
2004-02-28,01:08:45.992562,46384,39,122.153,-3.91901,11.04,2.18353
2004-02-28,01:08:45.992563,46385,40,122.153,-3.91901,11.04,2.18353
2004-02-28,01:08:45.992564,21849,41,24.0848,38.872,1729.6,2.63964
2004-02-28,01:08:45.992565,21850,42,24.1044,38.872,1729.6,2.62796
2004-02-28,01:08:45.992566,21851,43,24.1044,38.8379,1729.6,2.62796
2004-02-28,01:08:45.992567,21853,44,24.0946,38.872,1729.6,2.62796
2004-02-28,01:08:45.992568,55070,45,18.9398,45.4732,0.92,2.42416
2004-02-28,01:08:45.992569,55080,46,18.93,45.3743,0.92,2.41431
2004-02-28,01:08:45.992570,55081,47,18.9398,45.4732,0.92,2.42416
2004-02-28,01:08:45.992571,55082,48,18.9398,45.4402,0.92,2.41431
2004-02-28,01:08:45.992572,25673,49,21.0664,45.5391,1.84,2.59354
2004-02-28,01:08:45.992573,25674,50,21.0468,45.7037,1.84,2.59354
2004-02-28,01:08:45.992574,25675,51,21.037,46.0655,1.84,2.59354
2004-02-28,01:08:45.992575,25679,52,20.988,46.0655,1.84,2.59354
2004-02-28,01:08:45.992576,11563,53,19.3612,29.7205,93.84,2.66332
2004-02-28,01:08:45.992577,11564,54,19.3612,29.7916,93.84,2.66332
2004-02-28,01:08:45.992578,11565,55,19.3514,29.7561,93.84,2.66332
2004-02-28,01:08:45.992579,11566,56,19.3612,29.685,93.84,2.67532
2004-02-28,01:08:45.992580,38233,57,16.8426,53.6635,1847.36,2.42416
2004-02-28,01:08:45.992581,38234,58,16.8916,53.4742,1847.36,2.42416
2004-02-28,01:08:45.992582,38235,59,16.9112,53.5058,1847.36,2.4341
2004-02-28,01:08:45.992583,38236,60,17.1072,52.9368,1847.36,2.4341
2004-02-28,01:08:45.992584,38237,61,17.1464,52.7467,1847.36,2.4341
2004-02-28,01:08:45.992585,38238,62,17.1758,52.6833,1847.36,2.42416
2004-02-28,01:08:45.992586,38240,63,17.313,52.2388,1847.36,2.4341
2004-02-28,01:08:45.992587,38242,64,17.4502,51.8888,1847.36,2.4341
2004-02-28,01:08:45.992588,14307,65,20.0178,37.0933,0.46,2.53812
2004-02-28,01:08:45.992589,14309,66,20.0178,37.1277,0.46,2.52732
2004-02-28,01:08:45.992590,14310,67,20.008,37.1277,0.46,2.53812
2004-02-28,01:08:45.992591,14311,68,20.008,37.162,0.46,2.52732
2004-02-28,01:08:45.992592,16613,69,22.017,36.6118,64.4,2.45421
2004-02-28,01:08:45.992593,16614,70,22.0268,36.6118,64.4,2.45421
2004-02-28,01:08:45.992594,16616,71,22.0072,36.6807,64.4,2.45421
2004-02-28,01:08:45.992595,16617,72,22.0072,36.7839,64.4,2.45421
2004-02-28,01:08:45.992596,21245,73,24.124,35.6802,441.6,2.62796
2004-02-28,01:08:45.992597,21248,74,24.1534,35.6802,441.6,2.63964
2004-02-28,01:08:45.992598,21250,75,24.173,35.6456,441.6,2.63964
2004-02-28,01:08:45.992599,21256,76,24.2612,35.5418,426.88,2.63964
2004-02-28,01:08:45.992600,12919,77,25.055,28.1875,684.48,2.69964
2004-02-28,01:08:45.992601,12921,78,25.0354,28.3305,713.92,2.71196
2004-02-28,01:08:45.992602,12923,79,25.0452,28.259,713.92,2.71196
2004-02-28,01:08:45.992603,12924,80,25.0354,28.2948,713.92,2.71196
2004-02-28,01:08:45.992604,2966,81,36.521,16.6034,309.12,2.65143
2004-02-28,01:08:45.992605,2967,82,17.754,41.7133,3.68,2.66332
2004-02-28,01:08:45.992606,2968,83,17.7442,41.8476,3.68,2.66332
2004-02-28,01:08:45.992607,2969,84,17.7148,41.9147,3.68,2.65143
2004-02-28,01:08:45.992608,41116,85,23.8692,34.536,1494.08,2.52732
2004-02-28,01:08:45.992609,41117,86,122.153,35.3687,41.4,2.17553
2004-02-28,01:08:45.992610,41117,87,23.9378,34.4664,1494.08,2.52732
2004-02-28,01:08:45.992611,41118,88,23.9672,34.3621,1494.08,2.51661
2004-02-28,01:08:45.992612,2904,89,18.1656,40.8381,0.92,2.65143
2004-02-28,01:08:45.992613,2905,90,18.146,40.9392,0.92,2.66332
2004-02-28,01:08:45.992614,2906,91,18.1558,40.973,0.92,2.66332
2004-02-28,01:08:45.992615,2907,92,18.146,40.973,0.92,2.65143
2004-02-28,01:08:45.992616,30659,93,122.153,54.8891,441.6,2.31097
2004-02-28,01:08:45.992617,30660,94,25.9566,36.1293,426.88,2.63964
2004-02-28,01:08:45.992618,30660,95,122.153,54.8578,397.44,2.31097
2004-02-28,01:08:45.992619,30661,96,25.9468,36.1293,412.16,2.63964
2004-02-28,01:08:45.992620,24447,97,31.4152,26.716,1847.36,2.69964
2004-02-28,01:08:45.992621,24448,98,31.4446,26.752,1847.36,2.69964
2004-02-28,01:08:45.992622,24449,99,31.5132,26.608,1847.36,2.69964
2004-02-28,01:08:45.992622,24449,100,30.417,26.608,1847.36,2.69964
